site_no;comm_uncertainty;comm_class;sea_reach;strategic_primary_class;water_access_class;radius_km;hectares;population_data;population_cat;land_pct_cultivated;land_irrigated_ha;special_features
1;certain;mainline;moderate_distance;defensive;moderate_water;2.80;2463;800;very large;95.00;48.00;"Discovered 1939; excavated in 1952–66; administrative center of large kingdom in LHIIIB; local capital from late in MH through LHIIIA; some protection from NW winds"
2;certain;mainline;near_sea;none;unknown;NULL;NULL;no data;no data;NULL;NULL;"Chamber tomb and tholos excavated by Taylour 1958–59; probably extension of cemetery area belonging to #1"
3;certain;mainline;coastal;route_control;unknown;2.00;1256;130;small;95.00;40.00;Possibly small manufacturing center
4;certain;near_mainline;coastal;none;moderate_water;2.00;1256;390;large;95.00;NULL;"Tested by Marinatos; badly eroded"
5;uncertain;unknown;coastal;none;unknown;NULL;NULL;no data;no data;NULL;NULL;"Excavated by Kourouniotis; review of pottery suggests this earliest known tholos in region; connected with #12"
6;certain;secondary;coastal;defensive;unknown;NULL;NULL;78;very_small_site;NULL;NULL;Typical EH site
7;certain;secondary;coastal;none;unknown;2.00;1963;no data;no data;90.00;15.00;Apparently N part of lagoon bed above water level at times between Early Bronze and Early Iron Age
8;uncertain;unknown;NULL;none;unknown;NULL;NULL;no data;no data;NULL;NULL;Excavated by Marinatos
9;certain;secondary;coastal;defensive;unknown;0.30;28;182;small;NULL;NULL;Tested by Marinatos
10;certain;secondary;coastal;none;unknown;0.00;0;24;very_small_site;NULL;NULL;"Tested by Blegen and Theocharis; possibly shrine in LH and later"
11;uncertain;unknown;coastal;none;unknown;NULL;NULL;no data;no data;NULL;NULL;"Excavated by Skias, Kourouniotis, Marinatos; related settlement unclear; very important for transition from Bronze to Iron Age"
12;certain;secondary;coastal;none;unknown;2.30;1662;unclear;unclear;90.00;24.00;Excavated by Marinatos
13;uncertain;unknown;coastal;none;unknown;NULL;NULL;no data;no data;NULL;NULL;Probably related to #1
14;uncertain;unknown;near_sea;none;unknown;NULL;NULL;no data;no data;NULL;NULL;Probably related to #1
15;uncertain;mainline;coastal;none;limited_water;3.30;3421;247;medium;80.00;18.00;NULL
16;uncertain;mainline;coastal;defensive;river_access;2.40;1810;234;medium;65.00;NULL;NULL
17;uncertain;secondary;moderate_distance;none;moderate_water;4.10;5081;no data;no data;80.00;NULL;Fairly recent occupation has probably obscured ancient evidence
18;uncertain;unknown;moderate_distance;none;unknown;NULL;NULL;no data;no data;NULL;NULL;Second smaller artificial mound ca. 200 m NE
19;uncertain;near_mainline;moderate_distance;none;limited_water;3.60;4071;130;small;90.00;NULL;Since discovery in 1953, intensive cultivation has completely obscured surface pottery
20;uncertain;unknown;inland;none;abundant_water;3.40;3632;unclear;unclear;90.00;10.00;"Extensive excavation by Marinatos; no habitation site identified but must have been nearer than #1 (ca. 4 km)"
21;certain;isolated;moderate_distance;none;moderate_water;3.10;3019;52;very_small_site;50.00;20.00;NULL
22;uncertain;unknown;moderate_distance;none;unknown;NULL;NULL;no data;no data;NULL;NULL;Excavated by Marinatos
23;certain;mainline;moderate_distance;none;abundant_water;2.40;1810;52;very_small_site;85.00;64.00;Tholos excavated by Choremis
24;certain;mainline;moderate_distance;none;moderate_water;3.10;3019;no data;no data;90.00;NULL;NULL
25;certain;mainline;near_sea;defensive;moderate_water;2.60;1385;104;small;95.00;32.00;"Excavated by Marinatos; possibly at least 1 additional habitation site in vicinity; this general area had astonishing number of royal burials"""""
26;certain;secondary;near_sea;none;unknown;NULL;NULL;unclear;unclear;NULL;NULL;"Excavated by Marinatos; widely separated and more than 1 habitation complex almost certain"
27;certain;mainline;near_sea;resource_access;abundant_water;2.30;1662;130;small;95.00;32.00;NULL
28;certain;secondary;moderate_distance;none;limited_water;3.40;3632;65;very_small_site;70.00;NULL;NULL
29;certain;mainline;coastal;none;unknown;2.20;1520;65;very_small_site;70.00;0.00;NULL
30;certain;secondary;coastal;none;limited_water;0.80;201;39;very_small_site;95.00;0.00;NULL
31;certain;mainline;coastal;route_control;limited_water;1.20;452;325;large;90.00;65.00;NULL
32;certain;mainline;coastal;defensive;river_access;1.40;616;234;medium;75.00;180.00;Local rumors of tombs
33;certain;near_mainline;coastal;none;moderate_water;2.10;1385;169;small;90.00;NULL;NULL
34;certain;near_mainline;coastal;lookout;unknown;1.90;1134;39;very_small_site;45.00;NULL;NULL
