site_no;location_desc;Region;relief_leveL;landform_type;topo_position;Artificial
1;3 km SW along main highway (Pylos);Messenia;high;ridge;ridge;no
2;"500 m N–NE of Chóra; 3 km S of main site";Messenia;low;hill;summit;no
3;"700 m W–SW; bisected by main highway";Messenia;low;mound;mound;no
4;1 km S;Messenia;low;ridge;ridge;no
5;800 m S–SW;Messenia;very low;mound;mound;no
6;"1½ km S; NW of Voïdhokilia Bay";Messenia;low;headland;coastal_projection;no
7;"1½ km S–SE; N section of lagoon bed";Messenia;flat;plain;plain;no
8;"1¼ km S; S end of headland N of bay entrance";Messenia;low;promontory;coastal_projection;no
9;2 km S–SW;Messenia;low;headland;coastal_projection;no
10;2½ km S–SW;Messenia;large;cave;cliff_face;no
11;"Contiguous to SW; just W of church of Ágios Ioánnis";Messenia;low;hill;summit;no
12;"1 km SW; 300 m W of ridge";Messenia;high;spur;ridge;no
13;"500 m N; chapel in area NW of road";Messenia;unknown;unknown;unknown;unknown
14;"2 km N–NW; immed. E of road";Messenia;high;hill;summit;no
15;2½ km E–NE;Messenia;high;hill;summit;no
16;"1 km W–NW; immed. W of road";Messenia;low;hill;summit;no
17;Contiguous to NW;Messenia;low;hill;summit;no
18;"2 km W–NW; ca. 250 m N of highway; adjacent to modern village";Messenia;flat;plain;plain;no
19;2½ km NW;Messenia;low;mound;mound;no
20;"1 km NW; near road";Messenia;large;mound;mound;Yes
21;1½ km NW;Messenia;medium;spur;ridge;no
22;1 km E–NE;Messenia;unknown;mound;mound;Yes
23;Within village beside spring;Messenia;very low;mound;mound;no
24;900 m E–SE;Messenia;unknown;unknown;unknown;unknown
25;800 m NE;Messenia;low;hill;summit;no
26;"800 m SE; on S side of gorge";Messenia;unknown;plateau;plateau_surface;no
27;"1½ km W; 100 m NW of highway";Messenia;flat;plain;plain;no
28;"3½ km N; ca. 200 m W of road";Messenia;medium;spur;ridge;no
29;"300 m S; across deep gully";Messenia;medium;ridge;ridge;no
30;"800 m N; overlooking Arapi ravine to N";Messenia;low;ridge;ridge;no
31;1 km W–NW;Messenia;medium;ridge;ridge;no
32;"500 m NE; end of high ridge between two fertile valleys";Messenia;high;ridge;ridge;no
33;Contiguous to NE;Messenia;low;ridge;ridge;no
34;"1½ km E–NE; between highway and Navarino Bay; ca. 700 m SW of road junction";Messenia;low;mound;mound;no
35;"1¼ km S–SE; immed. S of sharp loop in Pylos–Methoni highway";Messenia;low;hill;summit;no
36;"1½ km W–NW; W end of low spur";Messenia;low;spur;ridge;no
37;2 km W–NW;Messenia;unknown;slope;slope;no
38;"500 m W–SW; S side of Plátanos–Korifasion road; second mound at Alózia ca. 1200 m W–SW";Messenia;low;hill;summit;no
39;1 km W;Messenia;low;hill;summit;no
40;"1 km E; chapel at E end";Messenia;low;hill;summit;no
41;800 m SE;Messenia;low;mound;mound;no
42;"1 km W; on N side of Platanos–Papoulia road";Messenia;unknown;mound;mound;Yes
43;Within village and contiguous to W;Messenia;low;hill;summit;no
44;1½ km NE;Messenia;medium;plateau;plateau_surface;no
45;"2 km W; on top of high ridge opposite (E of) palace (across deep ravine)";Messenia;high;ridge;ridge;no
46;2 km S;Messenia;high;ridge;ridge;no
47;"4½ km NW; S side of ravine overlooking sea";Messenia;medium;hill;summit;no
48;Contiguous to SW;Messenia;high;hill;summit;no
49;"500 m SW; immed. S of bridge on Válta–Gargaliáni road";Messenia;medium;ridge;ridge;no
50;2½ km NW;Messenia;low;spur;ridge;no
51;5½ km SE;Messenia;medium;ridge;ridge;no
52;Contiguous to E;Messenia;medium;spur;ridge;no
53;"3 km SE; on both sides of road at W edge of escarpment and just above chapel";Messenia;low;knoll;summit;no
54;"1½ km N–NW; cut thru by Filiatrá–Kyparissia highway at sharp loop";Messenia;low;scarp;slope;no
55;"3 km N–NW; at mouth of Filiatra River";Messenia;very low;mound;mound;no
56;400 m SW;Messenia;low;hill;summit;no
57;"1½ km E–SE; on N side of deep ravine";Messenia;flat;plateau;plateau_surface;no
58;1 km S–SE;Messenia;unknown;slope;slope;no
59;"800 m N–NW; just NE of sideroad from Kyparissia highway";Messenia;low;rise;slight_elevation;no
60;E edge of town;Messenia;high;spur;ridge;no
61;About half-way (avg 6 km) along side road between Kyparissía and Peristería (±200 m);Messenia;low;hill;summit;no
62;"800 m W–SW; on S side of road leading N from Kyparissía";Messenia;medium;spur;ridge;no
63;"700 m N–NE; 1 km W of Palió Loútro";Messenia;low;ridge;ridge;no
64;Contiguous to SW;Messenia;high;spur;ridge;no
65;"300 m S; immed. N of road to Pidhassos";Messenia;low;hill;summit;no
66;"1 km SE; on edge of deep gully";Messenia;low;mound;mound;Yes
67;Contiguous to NW;Messenia;high;spur;ridge;no
68;"1.5 km W–SW; 250 m W of Kalpínia–Lachnáda road";Messenia;high;ridge;ridge;no
69;"200 m S–SW; chapel hill partly eroded by sea";Messenia;medium;hill;summit;no
70;"2 km S–SE; side of bay; ca. 350 m N of cliff on mainland";Messenia;medium;islet;islet;no
71;300 m SW;Messenia;high;ridge;ridge;no
72;"1 km W–SW; at lower end of artificial mound shadowed on E side by Kalamata–Pylos highway";Messenia;low;mound;mound;Yes
73;"1 km N–NE; large basin and channel for water from spring at E foot";Messenia;high;hill;summit;no
74;"1½ km N; immed. N of Kalóchorí–Péra road";Messenia;high;spur;ridge;no
75;"400 m N–NE; on N side of road to coast";Messenia;medium;plain;plain;no
76;300 m W;Messenia;high;ridge;ridge;no
77;1 km S–SW;Messenia;high;cave;cliff_face;no
78;1 km S–SW;Messenia;high;spur;ridge;no
79;"200 m NW; at sharp bend in road just above (E of) spring of Ayía Pelagía";Messenia;low;ridge;ridge;no
80;"300 m NW; immed. S of school bldg.";Messenia;low;hill;summit;no
81;1½ km S;Messenia;low;ridge;ridge;no
82;"100 m NW; on and above school bldg.";Messenia;medium;hill;summit;no
83;"½ km SE; on E bank hill (10 m alt.) of Velíka River at mouth";Messenia;very low;hill;summit;no
84;"1½ km N; on E bank of Velíka River where it emerges from narrow ravine";Messenia;medium;cave;cliff_face;no
85;"600 m SE; 100 m W of Rizómilo–Dára road";Messenia;medium;hill;summit;no
86;"1 km NNW; 100 m E of Stréfi–Dhidhaes track";Messenia;low;mound;mound;Yes
87;500 m N–NW;Messenia;high;hill;summit;no
88;"1 km E–NE; large cave (40 m × 9 m) ca. 100 m above stream; facing NW to Palió Loútro across gorge";Messenia;large;cave;cliff_face;no
89;"2 km S–SE; immed. E of Aristomenis–Chalvatsou road";Messenia;high;hill;summit;no
90;"1 km N–NW; immed. W of Draina–Koromileá road";Messenia;medium;spur;ridge;no
91;400 m NE;Messenia;low;knoll;summit;no
92;"2 km S–SW; immed. S of water channel";Messenia;low;hill;summit;no
93;"1 km E–SE; immed. NE of tile factory on E side of highway";Messenia;low;slope;slope;no
94;"500 m SE; immed. above (W of) road to Plati";Messenia;low;terrace;terrace;no
95;"700 m S–SE; immed. below (E of) road to Plati";Messenia;low;mound;mound;no
96;"300 m E–SE; 100 m SE of modern cemetery";Messenia;medium;spur;ridge;no
97;"1.8 km SE; 800 m E of Pamisos River and immed. E of intersection of road and rail";Messenia;low;hill;summit;no
98;ca. 3 km N of Andhrousa at point where Liyidhi gorge widens;Messenia;high;cave;cliff_face;no
99;"500 m E–NE; immed. W of main intersection of Karteróli–Koritissa road with main highway";Messenia;low;hill;summit;no
100;"500 m NW; immed. E of highway leading N from Messíni";Messenia;low;ridge;ridge;no
101;"4 km S–SW; 400 m N of old custom-house (Bouka) on W side of road to sea";Messenia;low;hill;summit;no
102;Contiguous to S;Messenia;unknown;terrace;terrace;no
103;"600 m N–NW; 200 m W of Kalamáta–Megaloú highway";Messenia;low;hill;summit;no
104;1½ km NE of village;Messenia;very high;hill;summit;no
105;Contiguous to E;Messenia;medium;knoll;summit;no
106;"1 km W–SW; immed. E of bridge over Lykodími river";Messenia;low;hill;summit;no
107;"700 m S; on W side of road SW of chapel of Áyios Ioánnis";Messenia;low;terrace;terrace;no
108;800 m N–NE;Messenia;high;ridge;ridge;no
109;"5 km W–NW (guide needed); chapel of Panayía";Messenia;high;terrace;terrace;no
110;"800 m E; 200 m NE of chapel of Áyios Athanásios";Messenia;low;knoll;summit;no
111;300 m N;Messenia;medium;hill;summit;no
112;"Contiguous to NE; 500 m to E–NE of Kastro and immed. N of Sparta road";Messenia;medium;hill;summit;no
113;Within city (NE sector);Messenia;medium;acropolis;summit;no
114;Contiguous to NW;Messenia;high;ridge;ridge;no
115;500 m NW;Messenia;medium;hill;summit;no
116;ca. 4.5 km W;Messenia;unknown;cave;cliff_face;no
117;"600 m W; highway to Kardhamíli winds around it";Messenia;high;hill;summit;no
118;800 m NE;Messenia;high;acropolis;summit;no
119;400 m E–SE;Messenia;medium;acropolis;summit;no
120;Contiguous to S;Messenia;low;terrace;terrace;no
121;Contiguous to E;Messenia;unknown;terrace;terrace;no
122;"ca. 4 km WNW; on E bank of Pámisos and ca. 800 m from coast";Messenia;flat;delta;floodplain;no
123;1 km N;Messenia;high;spur;ridge;no
124;1 km E;Messenia;medium;spur;ridge;no
125;"500 m SW; end of cemetery spur along road above village";Messenia;high;spur;ridge;no
126;300 m W–SW;Messenia;high;hill;summit;no
127;"700 m SW; 200 m S of Neochóri–Zeropótamos road";Messenia;low;slope;slope;no
128;"1½ km SE; on S side of Stenikláros–Magoula road; 200 m E of ruined chapel";Messenia;low;hill;summit;no
129;—;Messenia;medium;hill;summit;no
130;"1½ km W–SW; N junction of Kastaró side road with Kalamata–Meligalás highway; chapel on summit";Messenia;medium;hill;summit;no
131;400 m N;Messenia;low;hill;summit;no
132;"800 m E; immed. E of Xerias";Messenia;very low;mound;mound;no
133;300 m;Messenia;high;hill;summit;no
134;ca. 5 km E;Messenia;high;hill;summit;no
135;400 m N;Messenia;high;hill;summit;no
136;"400 m NE; N of railroad and S of chapel of Áyios Yeóryios; 800 m W–SW";Messenia;high;spur;ridge;no
137;—;Messenia;low;hill;summit;no
138;Contiguous to N;Messenia;high;hill;summit;no
139;"400 m N; high chapel of Áyios Dhimítrios at E edge";Messenia;high;plateau;plateau_surface;no
140;200 m W–SW;Messenia;low;ridge;ridge;no
141;"700 m N–NE; chapel of Áyios Ilías on summit";Messenia;high;spur;ridge;no
142;200 m N;Messenia;high;hill;summit;no
143;"1½ km S–SE; immed. N of railroad";Messenia;unknown;slope;slope;no
144;800 m S;Messenia;low;ridge;ridge;no
145;1¼ km W–NW;Messenia;high;ridge;ridge;no
146;"2½ km N–NE; only 100 m W of road";Messenia;low;hill;summit;no
147;Contiguous to N (low hill dissected by cut for new highway);Messenia;low;hill;summit;no
148;"1 km E; immed. E of Aetós–Dhourovouni track";Messenia;high;hill;summit;no
149;Within village;Messenia;high;terrace;terrace;no
150;1 km NW;Messenia;high;ridge;ridge;no
151;"4 km N–NE; 700 m S of main highway on W side of Aetós road";Messenia;low;hill;summit;no
152;"1 km SW; marked by water tower";Messenia;medium;ridge;ridge;no
153;300 m W–NW;Messenia;medium;hill;summit;no
154;"2½ km N–NE; immed. N of Dhróïon–Psari road above chapel of Áyios Konstantínos";Messenia;high;hill;summit;no
155;"1 km NE; chapel of Panayía; area called Klisakoú";Messenia;high;terrace;terrace;no
156;1 km E–NE;Messenia;medium;hill;summit;no
157;"1½ km W; between main highway and rail road";Messenia;medium;plateau;plateau_surface;no
158;"2 km W; immed. N of main highway just W of junction of sideroad from Artíki";Messenia;high;hill;summit;no
159;1½ km S;Messenia;high;ridge;ridge;no
160;300 m E–NE;Messenia;medium;hill;summit;no
161;"2 km N; immed. W of Kopanáki–Kafalovrisi road";Messenia;high;ridge;ridge;no
162;"1½ km W–SW; 1½ km E–SE of lower Kakkáva";Messenia;high;ridge;ridge;no
163;"1½ km W–NW; 300 m NW of track to Ávion";Messenia;medium;hill;summit;no
164;"1½ km N–NE; 700 m SW of northernmost point on iron valley";Messenia;medium;spur;ridge;no
165;"600 m NW; above S end of Vandúlia–Ayía Ianni road";Messenia;low;ridge;ridge;no
166;"800 m SW; high spur projecting S; 2½ km N of Naváli";Messenia;high;spur;ridge;no
167;"500 m NE; 200 m E of chapel of Áyios Dhimítrios; S of Tholós–Leperó road";Messenia;low;mound;mound;no
168;"Contiguous; high spur S of Áyios Dhimítrios valley; at NE end";Elis;high;spur;ridge;no
169;"Contiguous; low mound of church of Áyios Yeóryios on N side of Nédha River";Elis;low;mound;mound;no
170;1½ km E–NE;Elis;medium;spur;ridge;no
171;400 m NW;Elis;medium;ridge;ridge;no
172;"1½ km S–SW; immed. W of coastal highway";Elis;low;ridge;ridge;no
173;"1½ km NW; between highway and railroad; N side of road to Epitálion";Elis;medium;hill;summit;no
174;"Contiguous to E; 300 m from coast";Elis;medium;ridge;ridge;no
175;700 m SW;Elis;low;ridge;ridge;no
176;"1 km W; 150 m N of monastery of Panayía Sodhiotissa";Elis;low;ridge;ridge;no
177;"1 km W–NW; 500 m N of Pirgos–Olympia highway";Elis;high;ridge;ridge;no
178;"700 m S; immed. N of railroad";Elis;medium;ridge;ridge;no
179;200 m N–NW;Elis;low;mound;mound;no
180;1 km W;Elis;unknown;unknown;unknown;unknown
181;"2 km W; immed. N of cemetery";Elis;medium;spur;ridge;no
182;"500 m W of church; convent on SE slope";Elis;high;hill;summit;no
183;"2 km NE; 400 m S of track from Makrisía to river ferry";Elis;high;hill;summit;no
184;1½ km W;Elis;high;hill;summit;no
185;900 m S–SE;Elis;flat;river bank;floodplain;no
186;"Near Alpheiós; ca. 2 m SW";Elis;unknown;unknown;unknown;unknown
187;700 m SW (within partially abandoned village of Dhróva);Elis;high;ridge;ridge;no
188;SE edge of Rína;Elis;unknown;unknown;unknown;unknown
189;S of village;Elis;unknown;unknown;unknown;unknown
190;"1 km N; 500 m W of ruined chapel of Áyios Ioánnis";Elis;medium;hill;summit;no
191;"500 m E–SE; slope and valley floor at foot of hill of Kronos";Elis;unknown;slope;slope;no
192;N outskirts;Elis;unknown;river bank;floodplain;no
193;"800 m SW; high conical hill";Elis;high;hill;summit;no
194;—;Elis;unknown;unknown;unknown;unknown
195;"“Near Kládheos”; on right bank of Kládheos River";Elis;unknown;unknown;unknown;unknown
196;2 km N on right bank of Kládheos River;Elis;unknown;unknown;unknown;unknown
197;On border between land of Kafkania and Kládheos;Elis;unknown;unknown;unknown;unknown
