site_no;reference_id;source;year;pages
1;1;AJA;1939,52;NULL
1;2;AJA;1961;237–38
1;3;AJA;1969;147–48
1;4;Blegen & Rawson;1966;NULL
1;5;Lang;1968;NULL
2;1;AJA;1961;238–39
2;2;Blegen & Rawson;1966;17–19
3;1;AJA;1939;559
3;2;AJA;1961;242
4;1;Praktika;1909;289
4;2;Praktika;1960;197
4;3;AJA;1939;559
4;4;AJA;1961;242
5;1;Praktika;1925–26;140–41
5;2;AJA;1939;557
5;3;AJA;1961;242
5;4;Hesperia;1954;158–62
6;1;AJA;1961;243–44
7;1;AJA;1964;232–33
7;2;AJA;1969;149–50
7;3;Pritchett;1965;6–11
8;1;Ergon;1956;90–93
8;2;AJA;1961;243
9;1;Ergon;1958;148–50
9;2;AJA;1961;243
10;1;AJA;1961;243
10;2;AJA;1964;32
11;1;Praktika;1954;305–8
11;2;AJA;1969;147
12;1;AJA;1969;147
13;1;AJA;1969;152
14;1;AJA;1969;152
15;1;Praktika;1964;89–92
15;2;Ergon;1964;84–85
15;3;BCH;1965;734
15;4;AJA;1969;152
16;1;Deltion;1967;207
16;2;AJA;1969;151–52
17;1;AJA;1961;245
17;2;Deltion;1967;207
18;1;Ergon;1966;105
18;2;AJA;1961;245
19;1;Ergon;1966;107–10
19;2;Praktika;1966;129–32
19;3;AJA;1969;151
20;1;AJA;1961;246
21;1;AJA;1964;233–34
22;1;Ergon;1966;105–7
22;2;Praktika;1966;121–28
22;3;AJA;1969;151
23;1;AJA;1961;245
23;2;Deltion;1964;145
23;3;Deltion;1968;156
23;4;AJA;1969;151
23;5;Deltion;1969;145
24;1;JHS Arch Reports;1960–61;11
24;2;AJA;1964;233
25;1;Praktika;1954;311
25;2;Praktika;1960;195–57
25;3;Praktika;1961;174–76
25;4;Praktika;1963;114–18
25;5;Ergon;1958;150–52
25;6;Ergon;1959;117–25
25;7;Ergon;1960;145–46
25;8;Ergon;1961;169–71
25;9;Ergon;1965;81–85
25;10;AJA;1961;244
25;11;AJA;1969;150
26;1;Praktika;1961;174–76
26;2;Praktika;1962;90
26;3;Ergon;1961;171
26;4;AJA;1969;150 (see also #35)
27;1;AJA;1961;245
28;1;AJA;1964;233
28;2;AJA;1969;150–51
29;1;AJA;1969;149
30;1;AJA;1969;149
31;1;AJA;1969;149
32;1;AJA;1961;242
33;1;AJA;1961;244
34;1;AJA;1939;559
34;2;AJA;1961;244
35;1;AJA;1969;154
36;1;Ergon;1954;42
36;2;Praktika;1954;308–11
36;3;AJA;1961;241
37;1;AJA;1961;241
38;1;AJA;1961;242
39;1;AJA;1964;232
40;1;AJA;1961;241
41;1;AJA;1964;232
42;1;Ergon;1954;42-43, Fig.55
42;2;AJA;1961;240
42;3;Deltion;1967;207
43;1;Praktika;1954;311–16
43;2;AJA;1961;240
43;3;AJA;1964;239
44;1;Ergon;1956;91–96
44;2;AJA;1961;240 and bibliography cited there
45;1;Deltion;1964;150–51
45;2;AJA;1969;148–49
46;1;AJA;1961;240
47;1;AJA;1961;236
48;1;AJA;1969;145
49;1;AJA;1969;145–46
50;1;AJA;1969;136
51;1;AJA;1969;135–36
52;1;AJA;1969;135
53;1;AJA;1969;135
54;1;AJA;1969;135
55;1;AJA;1969;133–34
56;1;AJA;1969;135
57;1;AJA;1969;134–35
58;1;AJA;1969;133
59;1;AJA;1969;134
60;1;Praktika;1911;247–52
60;2;Klio;1923;14
60;3;Buhl Lund;1928;141
60;4;Buhl Lund;1929;1–5
60;5;Roebuck;1941;24–25
60;6;AJA;1961;232
60;7;AJA;1969;133
60;8;Deltion;1961–62;96–98
60;9;Deltion;1967;206
60;10;Deltion;1968;156–58
61;1;Praktika;1965;111
62;1;AJA;1969;133
63;1;AJA;1969;145
64;1;AJA;1969;153
65;1;AJA;1969;152–53
66;1;AJA;1961;247
66;2;AJA;1969;152
67;1;AJA;1969;153
68;1;Deltion;1965;208
68;2;AJA;1969;154
69;1;Valmin;1930;155–57
69;2;BCH;1959;641
69;3;AJA;1961;247
69;4;Deltion;1967;207
70;1;AJA;1969;10–14
70;2;AJA;1969;135–?
70;3;Deltion;1969;145
71;1;Deltion;1960;108
71;2;Deltion;1961;92–96
71;3;AJA;1968;156–59
71;4;AJA;1964;248–49
71;5;AJA;1969;146
71;6;BCH;1961;697
71;7;BCH;1962;725
71;8;AJA;1968;205–9
71;9;Loy;1970;125-126
72;1;AJA;1961;246
73;1;AJA;1969;155
74;1;AJA;1964;233
75;1;AJA;1964;234
76;1;AJA;1969;155–56
77;1;AJA;1964;234
78;1;JHS Arch Reports;1960–61;11
78;2;AJA;1961;248
79;1;AJA;1969;155
80;1;Ergon;1958;154
80;2;AJA;1961;247
80;3;AJA;1964;233
81;1;AJA;1969;154–55
82;1;AJA;1969;155
83;1;AJA;1964;234
84;1;AJA;1964;234
85;1;AJA;1964;234–35
86;1;Deltion;1965;207
86;2;AJA;1969;156
87;1;AJA;1961;235
87;2;AJA;1969;143
88;1;AJA;1961;235–36
88;2;AJA;1969;145
89;1;AJA;1961;235
90;1;AJA;1969;144
91;1;AJA;1969;144–45
92;1;AJA;1969;157
93;1;AJA;1964;235–36
93;2;AJA;1969;157–58
93;3;Deltion;1964;153–54
94;1;AJA;1964;235
94;2;Loy;1970;116-125
95;1;see;;NULL
96;1;AJA;1964;236
97;1;AJA;1969;158
98;1;AJA;1969;158
99;1;Valmin;1930;64
99;2;BSA;1957;246
99;3;AJA;1966;124
99;4;AJA;1961;249–50
100;1;AJA;1969;158
101;1;AJA;1964;234
102;1;Deltion;1965;207
102;2;AJA;1969;156
103;1;AJA;1969;159
104;1;AJA;1961;255
104;2;AJA;1969;159–60
104;3;Valmin;1930;71–74
104;4;Roebuck;1941;4,13
104;5;Deltion;1965;207
104;6;AJA;1964;236–37
105;1;AJA;1964;236–37
106;1;AJA;1961;255
106;2;AJA;1964;236
107;1;Valmin;1930;53
107;2;AJA;1964;236
108;1;Buhl Lund;1928;1–31
108;2;Valmin;1930;56–62
108;3;Roebuck;1941;30–31
108;4;Frazer III;;424-25
108;5;Hope Simpson;1957;234–35
108;6;Hope Simpson;1966;121–24
108;7;AJA;1961;250–51
108;8;AJA;1964;239
108;9;AJA;1969;158–59
108;10;Deltion;1965;207
109;1;BCH;1959;641
109;2;AJA;1961;255
109;3;Hope Simpson;1966;121
110;1;AJA;1969;160
111;1;AM;1894;360–63
111;2;Arch Eph;1911;117
111;3;Roebuck;1941;122–24
111;4;BSA;1966;119
111;5;Hope Simpson;1966;118–19
111;6;AJA;1969;160
112;1;AJA;1961;251
112;2;AJA;1964;237
112;3;AJA;1969;160
113;1;Arch Eph;1911;107–18
113;2;Valmin;1930;45–55
113;3;BCH;1959;632–36
113;4;AJA;1961;251
113;5;AJA;1964;237
113;6;Deltion;1961–62;96
113;7;Deltion;1968;156
114;1;AJA;1969;160
115;1;AJA;1961;255
115;2;AJA;1969;160–61
116;1;Hope Simpson;1957;240
116;2;AJA;1961;251
117;1;Arch Eph;1891;189–91
117;2;Roebuck;1941;31
117;3;BSA;1957;236–39
117;4;BSA;1958;239
117;5;BSA;1966;114
117;6;AJA;1961;251
117;7;Deltion;1967;206–7
118;1;Buhl Lund;1928;42–44
118;2;Valmin;1930;198
118;3;Roebuck;1941;31
118;4;Hope Simpson;1957;234–46
118;5;Hope Simpson;1966;114
118;6;BCH;1959;639
118;7;AJA;1961;251
118;8;Deltion;1965;208
118;9;Deltion;1967;206
119;1;Valmin;1930;203
119;2;Hope Simpson;1957;232
119;3;BSA;1957;234
119;4;BCH;1959;640
119;5;Deltion;1960;108
119;6;AJA;1961;251
120;1;AJA;1961;251
120;2;AJA;1964;237
120;3;Hope Simpson;1966;113
121;1;BSA;1904–5;124–36
121;2;Hope Simpson;1957;232–33
121;3;BCH;1959;641
121;4;Deltion;1960;107–8
122;1;BCH;1959;639–40
122;2;AJA;1969;352–57
122;3;AM;1968;175–85
123;1;JHS Arch Reports;1960;5
123;2;Ergon;1964;85–90
123;3;Ergon;1965;84–92
123;4;Praktika;1965;109–20
123;5;BCH;1965;734
123;6;Deltion;1966;166–68
123;7;AJA;1969;133
124;1;Praktika;1960;201–52
124;2;Ergon;1960;149–52
124;3;Deltion;1960;116–17
124;4;AJA;1969;133
124;5;Lolling;1889;99
125;1;AJA;1969;133
126;1;AJA;1969;141–42
127;1;AJA;1969;142
128;1;AJA;1969;144
129;1;AJA;1969;143–44
130;1;AJA;1964;232
131;1;AJA;1964;231–32
131;2;AJA;1969;143
132;1;AJA;1961;235
132;2;Valmin;1930;39
132;3;RE Suppl. VI;;607
133;1;Deltion;1967;206
133;2;AJA;1969;144
134;1;Valmin;1930;74
134;2;;;NULL
134;3;AJA;1961;235
135;1;Buhl Lund;1928;74-79
135;2;Valmin;1930;97
135;3;AJA;1961;234
136;1;AJA;1964;231
136;2;Loy;1970;106–15
137;1;Deltion;1964;154
137;2;AJA;1964;231
137;3;AJA;1969;143
138;1;AJA;1964;231
139;1;AJA;1964;234–35
140;1;RE Suppl. VI;;607
140;2;AJA;1961;234
140;3;AJA;1969;142
141;1;AJA;1969;142
142;1;AJA;1969;142
143;1;Valmin;1926–27;88
143;2;Valmin;1927–28;171–224
143;3;AJA;1961;234
144;1;AJA;1969;141
145;1;Buhl Lund;1926–27;171–224
145;2;Buhl Lund;1927–28;171–224
145;3;Buhl Lund;1933–34;91–?
145;4;Buhl Lund;1934–35;1–?
145;5;Valmin;1938;NULL
145;6;Valmin;1953;29–46
145;7;AJA;1961;233–34
145;8;AJA;1969;141
146;1;AJA;1953;29–46
146;2;II;1955;66–74
146;3;AJA;1960;119–22
146;4;AJA;1969;141
147;1;Deltion;1964;154–55
147;2;AJA;1969;141
148;1;AJA;1969;140
149;1;Buhl Lund;1925–26;57
149;2;Valmin;1930;117
149;3;AJA;1961;233
149;4;Deltion;1964;155
150;1;AJA;1969;140
151;1;AJA;1969;140
152;1;AJA;1969;140
153;1;AJA;1969;136–37
154;1;AJA;1969;139–40
155;1;Valmin;1930;103–4
155;2;AJA;1961;233
156;1;Buhl Lund;1927–28;31
156;2;Valmin;1930;101–3
156;3;Roebuck;1941;339
156;4;AJA;1961;233
157;1;Buhl Lund;1927–28;31–34
157;2;Valmin;1930;79–81
157;3;AJA;1961;233
158;1;AJA;1969;136
159;1;AJA;1969;137–38
160;1;AJA;1969;136
161;1;AJA;1969;139
162;1;Deltion;1968;160
162;2;AJA;1969;139
163;1;AJA;1969;131
164;1;Valmin;1930;82
164;2;AJA;1969;131
165;1;AJA;1969;131
166;1;AJA;1969;130–31
167;1;AJA;1969;130
168;1;Sperling;1942;86
168;2;Meyer;1957;63
168;3;AJA;1961;231–32
168;4;Frazer III;;474
169;1;AJA;1969;130
170;1;Dörpfeld;1907;NULL
170;2;Dörpfeld;1908;295–317
170;3;Dörpfeld;1913;97–139
170;4;Müller;1909;269–328
170;5;McDonald;1942;538–45
170;6;Sperling;1942;81–82
170;7;Meyer;1951;119–36
170;8;Meyer;1957;78f.
170;9;AJA;1961;230–31
170;10;AJA;1969;130
170;11;AJA;1964;231
171;1;AJA;1969;130
171;2;AJA;1964;231
172;1;Dörpfeld;1908;320–22
172;2;Dörpfeld;1913;111–14
172;3;Sperling;1942;87
172;4;Meyer;1957;75–76
172;5;Deltion;1965;6
172;6;;;185–86
172;7;AJA;1961;230
172;8;AJA;1969;130
173;1;Meyer;1957;60
173;2;AJA;1961;227–28
173;3;AJA;1969;129
173;4;Deltion;1966;171–72
173;5;Deltion;1967;210–11
173;6;Deltion;1968;NULL
173;7;AJA;1968;201–4
173;8;Arch Eph;1969;16–17
173;9;AMCM;;NULL
174;1;Sperling;1942;82
174;2;Arch Eph;1957;31–43
174;3;Deltion;1960;126
174;4;Deltion;1968;162
174;5;AJA;1961;224
175;1;Sperling;1942;85
175;2;AJA;1961;225
175;3;Deltion;1968;162
175;4;Deltion;1969;148
176;1;AJA;1961;225
177;1;AJA;1961;225–26
177;2;Deltion;1967;209
177;3;AJA;1968;161
177;4;AJA;1969;148
178;1;Deltion;1960;126
178;2;Deltion;1968;171
178;3;AJA;1961;226
178;4;AJA;1969;148
179;1;Deltion;1961–62;107
179;2;AJA;1969;148
180;1;Deltion;1960;126
180;2;AJA;1969;148
181;1;AJA;1969;148
182;1;Meyer;1957;47–48
182;2;AJA;1969;148
183;1;Meyer;1957;47
183;2;AJA;1961;229
184;1;Praktika;1956;186
184;2;BCH;1958;570
184;3;Deltion;1966;171
184;4;AJA;1969;148
184;5;AJA;1970;49
184;6;AM;1969;195
185;1;AM;1906;205–18
185;2;AM;1908;185–92
185;3;AM;1962;371
185;4;AJA;1961;228
