site_no;site;location_desc;physical_desc
1;"Chóra: Áno Englianós (Palace of Nestor)";"3 km SW along main highway (Pylos)";"Low hill on long high ridge oriented NE–SW"
2;"Písáki: Chórou and Mavroudhiá";"500 m N–NE of Chóra; 3 km S of main site";"Low hill"
3;"Kórifasion: Pórtes";"700 m W–SW; bisected by main highway";"Low mound"
4;"Kórifasion: Belferbéri";"1 km S";"Low hill forming N extension of long ridge"
5;"Kórifasion: Charatsári";"800 m S–SW";"Very low mound"
6;"Petrochóri: Profitis Ilias";"1½ km S; NW of Voïdhokilia Bay";"Flat top of low rocky headland"
7;"Petrochóri: Osmánaga";"1½ km S–SE; N section of lagoon bed";"Flat area"
8;"Petrochóri: Voïdhokiliá";"1¼ km S; S end of headland N of bay entrance";"Low promontory"
9;"Petrochóri: Paliókastro";"2 km S–SW";"Low narrow flat N end of headland"
10;"Petrochóri: Cave of Nestor";"2½ km S–SW";"Large cave in steep N face of acropolis"
11;"Chóra: Ágios Ioánnis";"Contiguous to SW; just W of church of Ágios Ioánnis";"Low hill-top"
12;"Metaxáda: Kalóspana";"1 km SW; 300 m W of ridge";"High spur extending from Englianós into SW"
13;"Metamórfosis: Ayía Sotíra";"500 m N; chapel in area NW of road";"Uncertain / near chapel"
14;"Vlachopoúlo: Stanatá Ráchi";"2 km N–NW; immed. E of road";"High hill"
15;"Vlachopoúlo: Agriliá";"2½ km E–NE";"High hill"
16;"Chatzi: Barbéri";"1 km W–NW; immed. W of road";"Low hill"
17;"Mesopótamos: Velovoúni";"Contiguous to NW";"Low hill"
18;"Mesopótamos: Chília Choría";"2 km W–NW; ca. 250 m N of highway; adjacent to modern village";"Flat terrain near highway"
19;"Soulinári: Tourlíthia";"2½ km NW";"Small distinct mound"
20;"Miliá: Ágios Ilías";"1 km NW; near road";"Large mound (partly artificial)"
21;"Romirí: Ávisos";"1½ km NW";"Medium spur"
22;"Chandhrinoú: Kissós";"1 km E–NE";"Artificial mound"
23;"Chandhrinoú: Platánia";"Within village beside spring";"Very low mound (now almost effaced)"
24;"Káto Kremmidhiá: Fourzóvrisi";"900 m E–SE";"See category F"
25;"Koukounára: Kataráchi (possibly the a-pu2 of the Pylos tablets)";"800 m NE";"Low hill in deep gorge of Potami; foot of Potami tou Arapi"
26;"Stenosía: Londaríti";"800 m SE; on S side of gorge";"Dissected plateau country"
27;"Chandhrinoú: Koubé";"1½ km W; 100 m NW of highway";"Relatively flat area sloping to W"
28;"Kinigoú: Avarínitsa";"3½ km N; ca. 200 m W of road";"Medium spur; site of small, recently abandoned village"
29;"Píla: Elítsa";"300 m S; across deep gully";"Medium ridge"
30;"Píla: Kokkinó-rachi";"800 m N; overlooking Arapi ravine to N";"Low ridge"
31;"Píla: Vígles";"1 km W–NW";"E end of medium ridge"
32;"Yialová: Palióchori";"500 m NE; end of high ridge between two fertile valleys";"High ridge"
33;"Schinolákka: Kokkiná";"Contiguous to NE";"Low ridge"
34;"Pýlos: Vígla";"1½ km E–NE; between highway and Navarino Bay; ca. 700 m SW of road junction";"Low mound (partially fallen over cliff)"
35;"Pýlos: Ágios Nektários";"1¼ km S–SE; immed. S of sharp loop in Pylos–Methoni highway";"Low hill"
36;"Iklaina: Trágana";"1½ km W–NW; W end of low spur";"Low spur"
37;"Iklaina: Goúvnes";"2 km W–NW";"Eroded slope"
38;"Plátanos: Kritárhies";"500 m W–SW; S side of Plátanos–Korifasion road; second mound at Alózia ca. 1200 m W–SW";"Low hill"
39;"Plátanos: Lambropoúli";"1 km W";"Flank of low hill in ravine"
40;"Plátanos: Planígia";"1 km E; chapel at E end";"Low hill"
41;"Plátanos: Merzéni";"800 m SE";"Low mound on SW slope"
42;"Papoulía: Áyios Ioánnis";"1 km W; on N side of Platanos–Papoulia road";"Artificial mound"
43;Papoulía;"Within village and contiguous to W";"On low hill"
44;"Mirsinochóri: Roútsi";"1½ km NE";"Medium plateau"
45;"Mirsinochóri: Váles";"2 km W; on top of high ridge opposite (E of) palace (across deep ravine)";"High ridge"
46;"Chóra: Koukóyera";"2 km S";"Top of high ridge; immed. N of ravine"
47;"Gargaliáni: Órdhines";"4½ km NW; S side of ravine overlooking sea";"Medium hill"
48;"Válta: Áyios Pandeleímonas";"Contiguous to SW";"High hill with church at S edge; village behind"
49;"Válta: Kastráki";"500 m SW; immed. S of bridge on Válta–Gargaliáni road";"Medium ridge oriented NE–SW"
50;"Válta: Ayía Paraskeví";"2½ km NW";"Low spur with house on summit; chapel ca. 200 m E–NE"
51;"Filiatrá: Kastráki";"5½ km SE";"Medium spur; immed. W of bridge over Evangelistra River"
52;Koroniéïka;"Contiguous to E";"Flat E edge of medium limestone spur"
53;"Filiatrá: Áyios Christóforos";"3 km SE; on both sides of road at W edge of escarpment and just above chapel";"Low knoll on S side of road; terraced slope to N"
54;"Filiatrá: Áyios Ioánnis";"1½ km N–NW; cut thru by Filiatrá–Kyparissia highway at sharp loop";"NW edge of low escarpment above coastal plain; chapel on E side of highway"
55;"Filiatrá: Stómio";"3 km N–NW; at mouth of Filiatra River";"Very low mound on cliff at S side of river overlooking sea"
56;"Chalazóní: Palióchori";"400 m SW";"Low hill"
57;"Farakládha: Dhési";"1½ km E–SE; on N side of deep ravine";"Level plateau"
58;"Armenioí: Mána";"1 km S–SE";"Sloping ground above spring"
59;"Spiliá: Príndzipa";"800 m N–NW; just NE of sideroad from Kyparissia highway";"Low rise"
60;"Kyparissía: Kástro (Lyk. pa-ri-so of Pylos tablets?; Homeric Kyparisseis?; Arkadhiá)";"E edge of town";"Top and foot of high hill forming NW spur of Ayia Varvara Mts."
61;"Kyparissía: Rízes";"About half-way (avg 6 km) along side road between Kyparissía and Peristería (±200 m)";"Low hill in open field"
62;"Vrízes: Palió-trígas";"800 m W–SW; on S side of road leading N from Kyparissía";"Medium spur projecting N"
63;"Flesídha: Misoráchi";"700 m N–NE; 1 km W of Palió Loútro";"Low isolated ridge"
64;"Palioneró: Áyios Konstantínos";"Contiguous to SW";"High spur projecting W; directly above chapel on side road to Mesochóri from Pylos–Methóni highway"
65;"Mesochóri: Koutsovéri";"300 m S; immed. N of road to Pidhassos";"Low hill"
66;"Mesochóri: Gdhití Ráchi";"1 km SE; on edge of deep gully";"Low artificial mound; 15 m diam.; 2 m high"
67;"Káto Ambelókipi: Astropakalámeno";"Contiguous to NW";"High spur above village"
68;"Exochikón: Áyios Nikólaos";"1.5 km W–SW; 250 m W of Kalpínia–Lachnáda road";"High ridge"
69;"Finikoús: Ayianálipsi (ka-ra-do-ro of Pylos tablets?)";"200 m S–SW; chapel hill partly eroded by sea";"Medium hill"
70;"Methóni: Nisakoúli";"2 km S–SE; side of bay; ca. 350 m N of cliff on mainland";"Round heavily eroded islet (ca. 60 m diam.) of medium height"
71;"Rizómilo: Nichória (re-u-ko-to-ro of Pylos tablets?)";"300 m SW";"High ridge oriented NW–SE"
72;"Nerómilos: Víglista";"1 km W–SW; at lower end of artificial mound shadowed on E side by Kalamata–Pylos highway";"Low artificial mound"
73;"Péra: Kárkano";"1 km N–NE; large basin and channel for water from spring at E foot";"High hill"
74;"Kalóchorí: Áyios Ilías";"1½ km N; immed. N of Kalóchorí–Péra road";"High spur projecting N over deep gorge"
75;"Mathía: Piráki";"400 m N–NE; on N side of road to coast";"Medium hill above coastal plain"
76;"Víglia: Áyios Ilías";"300 m W";"High ridge; chapel on E end"
77;"Longá: Palió-kastro";"1 km S–SW";"High steep hill between ravines; cave on S side"
78;"Longá: Káfrio";"1 km S–SW";"High spur projecting E over coastal plain"
79;"Faláthi: Panorí(a)";"200 m NW; at sharp bend in road just above (E of) spring of Ayía Pelagía";"Low ridge"
80;"Charokopió: Demotic School";"300 m NW; immed. S of school bldg.";"Top of low hill"
81;"Áyios Isídhoros: Liofáklia";"1½ km S";"S edge of low ridge; on edge of fertile country to S"
82;"Chrisokellariá: Áyios Athanásios";"100 m NW; on and above school bldg.";"Medium hill"
83;"Velíka: Skondhákis";"½ km SE; on E bank hill (10 m alt.) of Velíka River at mouth";"Very low hill"
84;"Velíka: Kákora Trópa";"1½ km N; on E bank of Velíka River where it emerges from narrow ravine";"Medium scarped cave"
85;"Dára: Víglista";"600 m SE; 100 m W of Rizómilo–Dára road";"Medium hill"
86;"Stréfi: Garbalovoúni (or Galara voúni)";"1 km NNW; 100 m E of Stréfi–Dhidhaes track";"Low hill; artificial mound near SE edge"
87;"Maryéli: Koutsovéri";"500 m N–NW";"High hill in sheltered valley"
88;"Flesídha: Kouféro";"1 km E–NE; large cave (40 m × 9 m) ca. 100 m above stream; facing NW to Palió Loútro across gorge";"Large cave"
89;"Chalvátsou: Kástro";"2 km S–SE; immed. E of Aristomenis–Chalvatsou road";"High hill"
90;"Dhraína: Koutsovéri";"1 km N–NW; immed. W of Draina–Koromileá road";"Medium spur projecting W over valley"
91;"Manganiakó: Paliámbela";"400 m NE";"Three low knolls"
92;"Trikórfo: Kakó Kataráchi";"2 km S–SW; immed. S of water channel";"Low hill"
93;"Lámbaina: Tourkokófivouro";"1 km E–SE; immed. NE of tile factory on E side of highway";"Low rolling ground"
94;"Aristodhímion: Paliámbeles";"500 m SE; immed. above (W of) road to Plati";"Low terrace sloping S–SE over alluvium"
95;"Aristodhímion: Glikórizi";"700 m S–SE; immed. below (E of) road to Plati";"Low mound"
96;"Éva: Nekrotafion";"300 m E–SE; 100 m SE of modern cemetery";"Medium spur projecting E over valley"
97;"Áris: Mesovoúni";"1.8 km SE; 800 m E of Pamisos River and immed. E of intersection of road and rail";"Low hill"
98;"Vournázi: Baroutsospiliá";"ca. 3 km N of Andhrousa at point where Liyidhi gorge widens";"Cave in NE face of cliff; some rock falls; present dimensions 200 m wide × 6 m high × 10 m deep"
99;"Karteróli: Áyios Konstantínos";"500 m E–NE; immed. W of main intersection of Karteróli–Koritissa road with main highway";"Several low hills intersected by roads"
100;"Mavromáti: Panayiá";"500 m NW; immed. E of highway leading N from Messíni";"Low ridge"
101;"Messíni: Méxa";"4 km S–SW; 400 m N of old custom-house (Bouka) on W side of road to sea";"Low hill"
102;"Mádhena: Áyios Konstantínos";"Contiguous to S";"Sea terrace; carry F"
103;"Áyios Flóros: Kamária";"600 m N–NW; 200 m W of Kalamáta–Megaloú highway";"Low hill with chapel of Panayiá"
104;Tsoukaleíka;"1½ km NE of village";"Very high isolated hill"
105;"Áyios Flóros";"Contiguous to E";"Medium knoll"
106;"Pláti: Petroýni";"1 km W–SW; immed. E of bridge over Lykodími river";"Low hill"
107;"Pidíma: Áyios Ioánnis";"700 m S; on W side of road SW of chapel of Áyios Ioánnis";"Low terrace with main spring; barely above level of present marsh"
108;"Aïthaía: Elliniká";"800 m N–NE";"High ridge; exceeds 1 km N–S and parallel to high-way"
109;"Artemisía: Vólimnos";"5 km W–NW (guide needed); chapel of Panayía";"High terraces below chapel"
110;"Thouría: Áyios Athanásios";"800 m E; 200 m NE of chapel of Áyios Athanásios";"Low knoll (barn on summit)"
111;"Perivolákia: Sóla (ancient Kalamai?)";"300 m N";"Medium hill"
112;"Kalamáta: Toúrles";"Contiguous to NE; 500 m to E–NE of Kastro and immed. N of Sparta road";"Medium hill"
113;"Kalamáta: Kástro (Homeric Pherai)";"Within city (NE sector)";"Medium hill; fine flat-topped acropolis heavily built over in later periods"
114;"Vérga: Kastráki";"Contiguous to NW";"Medium ridge across gully from village (whole area high above gulf)"
115;"Mikrá Mandinía: Áyios Yeóryios";"500 m NW";"Medium hill with chapel of Áyios Yeóryios"
116;"Pigádhia: Kok-kinochómata";"ca. 4.5 km W";"Collapsed cave"
117;"Kámbos: Zarnáta";"600 m W; highway to Kardhamíli winds around it";"High hill"
118;"Kardhamíli: Kástro (Homeric and later?; Kardamyle)";"800 m NE";"High flat-topped acropolis"
119;"Stoúpa: Lévtro";"400 m E–SE";"Medium flat-topped acropolis"
120;"Áyios Dhimítrios: Vígla";"Contiguous to S";"Easy terraces sloping down into low cliffs above sea"
121;"Koutifári: Svína (ancient Thalamai)";"Contiguous to E";"Terraces above village"
122;"Kalamáta: Akovítika";"ca. 4 km WNW; on E bank of Pámisos and ca. 800 m from coast";"Flat marshy delta; very little above present sea level"
123;"Mírou: Peristeriá";"1 km N";"High spur overlooking Kyparissia River to N"
124;"Mouriátadha: Ellinikó (Lolling's candidate for Homeric Dorion)";"1 km E";"Medium spur"
126;"Sellás: Nekrotafíon";"500 m SW; end of cemetery spur along road above village";"W end of high spur"
127;"Konchilión: Kástro";"300 m W–SW";"High hill"
128;"Neochóri: Koumoústa";"700 m SW; 200 m S of Neochóri–Zeropótamos road";"Low slopes of immed. above (S) of stream"
129;"Stenikláros: Káto Ráchi";"1½ km SE; on S side of Stenikláros–Magoula road; 200 m E of ruined chapel";"Low hill at E end of hills"
130;"Meligalás: Áyios Ilías";—;"Highest point of medium isolated hill"
131;"Kastaró: Áyios Ilías";"1½ km W–SW; N junction of Kastaró side road with Kalamata–Meligalás highway; chapel on summit";"Medium isolated hill"
132;"Siférna: Paliochóri";"400 m N";"Low hill"
133;"Loutró: Karastádhes";"800 m E; immed. E of Xerias";"Very low mound?"
134;"Kalívia: Páno Chorió";"300 m";"High hill"
135;"Loutró: Kók-kala (C Kálo; ?Amphéïa?)";"ca. 5 km E";"High hill"
136;"Polichní: Áyios Taxíarchos (classical Andania?)";"400 m N";"High hill; ruins of M convent on summit"
