site_no,communications,strategic_features,water_supply,land_total,land_pct_cultivated,land_irrigated_ha,population,special_features
1,"Mainline (land); 9 km N of best port in region","Fairly well protected except to NE; wide view over productive countryside and harbor","Fair spring 1 km NE","2.8 km radius; 2,463 ha",95.00,48.00,"800 min. (from archaeological clues only)","Discovered 1939; excavated in 1952–66; administrative center of large kingdom in LHIIIB; local capital from late in MH through LHIIIA; some protection from NW winds"
2,"Mainline (land); 6 km from sea",NULL,NULL,NULL,NULL,NULL,NULL,"Chamber tomb and tholos excavated by Taylour 1958–59; probably extension of cemetery area belonging to #1"
3,"Mainline (land); 3 km from sea","On road from harbor to palace",NULL,"2 km radius; 1,256 ha",95.00,40.00,130,"Possibly small manufacturing center"
4,"Near mainline (land); excellent (sea)",NULL,"Fair spring 50 m E","2 km radius; 1,256 ha",95.00,NULL,390,"Tested by Marinatos; badly eroded"
5,"3 km from sea",NULL,NULL,NULL,NULL,NULL,NULL,"Excavated by Kourouniotis; review of pottery suggests this earliest known tholos in region; connected with #12"
6,"Secondary (land); excellent (sea)","Strong defensive position commanding entrance to little bay",NULL,NULL,NULL,NULL,78?,"Typical EH site"
7,"Secondary (land); excellent (sea)",NULL,NULL,"2 km radius; 1,963 ha",90.00,15.00,NULL,"Apparently N part of lagoon bed above water level at times between Early Bronze and Early Iron Age"
8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Excavated by Marinatos"
9,"Secondary (land); excellent (sea)","Strong defensive position—probably main harbor town for palace",NULL,"0.3 km radius; 28 ha",NULL,NULL,182,"Tested by Marinatos"
10,"Secondary (land); excellent (sea)","Spacious natural shelter",NULL,"see #7",NULL,NULL,"Half dozen families","Tested by Blegen and Theocharis; possibly shrine in LH and later"
11,"2 km from sea",NULL,NULL,NULL,NULL,NULL,NULL,"Excavated by Skias, Kourouniotis, Marinatos; related settlement unclear; very important for transition from Bronze to Iron Age"
12,"Secondary (land); 2½ km to sea",NULL,NULL,"2.3 km radius; 1,662 ha",90.00,24.00,?,"Excavated by Marinatos"
13,"3 km to sea",NULL,NULL,NULL,NULL,NULL,NULL,"Probably related to #1"
14,"3½ km to sea",NULL,NULL,NULL,NULL,NULL,NULL,"Probably related to #1"
15,"Mainline? (land); fair (sea); 2 km","Close to excellent land","Small spring immed. S","3.3 km radius; 3,421 ha",80.00,18.00,247,NULL
16,"Mainline? (land); fair (sea); 3 km","Strong defensive position","River and copious spring ca. 1½ km N","2.4 km radius; 1,810 ha",65.00,NULL,234,NULL
